Keys,"Українська [ua-UA]"
EVENT_TollRoad,"Стежка веде вас до вузького проходу між двома скелястими виступами. Ви вже майже пробралися всередину, коли кілька фігур у капюшонах раптово виходять з-за скель.<br><br>- Стій!<br><br>Найбільший із чоловіків підходить до тебе. - Це платна дорога - хмикає чоловік - якщо хочеш пройти, гони монети!<br><br>Ви помічаєте, що з-за скель позаду вас з'явилися ще кілька людей - ви оточені."
EVENT_TollRoad_A,"Заплатити данину"
EVENT_TollRoad_A_Subtext,"(Втратити ¬LoseSmallGold.GoldAmount¬ Золота)"
EVENT_TollRoad_B,"Битися з ними"
EVENT_TollRoad_C,"Спробувати втекти"
EVENT_TollRoad_C_Unavailable,"Дикун: ""Інокс не боягуз!!!"
EVENT_TollRoad_Fight,"Не вагаючись, ви вбиваєте ватажка розбійників перш, ніж його головорізи можуть наблизитися до вас. Кілька ударів і рубаючих ударів потому, всі лиходії лежать мертві на землі.<br><br>Ви знімаєте гаманець з пояса ватажка і йдете далі по проходу."
EVENT_TollRoad_Fight_Gained,"Ви намагаєтеся знищити ватажка розбійників перш, ніж він встигне зреагувати, але він явно швидший, ніж ви очікуєте від людини його комплекції. Він ловить тебе широким горизонтальним ударом кинджала, перш ніж впасти після удару по голові. Поранений ти повертаєшся, щоб битися з іншими його головорізами.<br><br>Очевидно, що вони не можуть зрівнятися з таким, як ти, і через кілька секунд усі вони лежать мертвими на землі. Ви забираєте гаманець з монетами з пояса ватажка як приз і продовжуєте йти проходом."
EVENT_TollRoad_Flee,"Ви кидаєтеся назад стежкою, збиваючи пару розбійників, коли тікаєте. Кілька з них намагаються пуститися в погоню, але швидко втрачають вас у густому лісі.<br><br>Після довгого обходу через ліс, ви врешті-решт повертаєтеся на стежку, далеко за тим місцем, де ви зіткнулися з розбійниками."
EVENT_TollRoad_Flee_Gained,"Ви кидаєтеся назад стежкою, збиваючи пару розбійників, коли тікаєте. Ви майже досягаєте межі лісу неушкодженими, коли вас вражають у спину кілька стріл розбійниць-лучників.<br><br>Кілька лиходіїв намагаються пуститися в погоню, але, незважаючи на свої рани, ви швидко втрачаєте їх у густому лісі.<br><br>Після довгого обходу через ліс, ви врешті-решт повертаєтеся на стежку, далеко за тим місцем, де ви зіткнулися з розбійниками."
EVENT_TollRoad_Pay,"Ви неохоче віддаєте золото, не бажаючи неприємностей - Бальшая шпасиба - посміхається він, відступаючи вбік, щоб дати вам пройти.<br><br>Ви незграбно пробираєтеся повз розбійників і проходите через прохід, намагаючись не звертати уваги на їхній знущальний і глумливий сміх, коли йдете."
EVENT_Unavailable_Gold,"Не вистачає золота"
Eaglecrest,"Гребінь Орла"
Eaglecrest_DESCR,"Село Гребінь Орла оточене виноградниками на крутих північних околицях боліт. Ціни високі, але рідкісні товари можна знайти в спеціалізованих магазинах."
EarthDemon,"Земляний демон"
EarthDemonElite,"Земляний демон (Елітний)"
Eastgrove,"Істгроув"
Eastgrove_DESCR,"Це маленьке скромне село затишно влаштувалося на красивій лісовій галявині."
Easy,"Легко"
ElderDrake,"Дрейк-патріарх"
Elementalist,"Елементаліст"
Elementalist3DemonSummonAltar,"Вівтар Прикликання демонів"
Elementalist_ADVENTURE_DESCRIPTION,"Елементалісти - це особливо вправні Саввас, які опанували безліч стихій. Їх поважають більше, ніж інших, і вони можуть володіти могутньою магією.<br>Складний клас з безліччю складних здібностей, Елементаліст створює і використовує стихії з лякаючою швидкістю. Вони добре працюють з іншими користувачами магії, але як самотні користувачі стихій у команді, вони можуть бути недостатньо сильними, найкраще забезпечити їх способом формування стихій, якщо це можливо."
Elementalist_DESCRIPTION,"Елементалісти - це особливо вправні Саввас, які опанували безліч стихій, їх поважають вище за інших і вони можуть володіти могутньою магією."
Elementalist_DIFFICULTY,"Дуже висока"
Elementalist_ROLE,"Шкода на відстані"
Elementalist_STRENGTHS,"- <indent=%15>здібності мають широкий спектр опцій</indent><br>- <indent=%15>Дуже ефективний на дистанції</indent><br>- <indent=%15>Відмінно підходить для підвищення стихій</indent>"
Elementalist_WEAKNESSES,"- <indent=%15>слабкіше без інших магів</indent><br>- <indent=%15>Можуть бути ходи без можливостей</indent><br>- <indent=%15>Макети деяких карт здібностей можуть викликати мігрень</indent>"
Elite,"(Елітний)"
EliteCultist,"Культист (Елітний)"
EnchantressDialogName,"Чародійниця"
English,"Англійська"
Enhancement,"Поліпшення"
ExtraTurn,"Додатковий хід"
FIX_DUPLICATE_MAPSTATE_ITEMS,"Збереження було пошкоджено. Ви хочете спробувати відновити це збереження? Зверніть увагу, що деякі предмети можуть бути втрачені в процесі."
FIX_DUPLICATE_MAPSTATE_ITEMS_BUTTON,"Полагодити зламане збереження"
FIX_DUPLICATE_MAPSTATE_ITEMS_TITLE,"Виявлено збій збереження"
FTUE_1,"Перш ніж вирушити в жорстоку пустелю, що оточує <color=#EACF8C> Похмуру Гавань</color>, вам знадобиться щонайменше 2 найманці у вашій групі, достатньо хоробрих або жадібних, щоб шукати пригод (і золото)."
FTUE_10,"Похмура Гавань не славиться вихованими людьми і добрими самаритянами, але на її міських вулицях можна багато чого почерпнути...<br>Ви можете вибрати <color=#EACF8C> Запустити міську подію</color>, натиснувши на цю кнопку внизу.<br><size=60><sprite name=""MapMarker_Story""></size><br>(Рекомендується, щоб ви робили це щоразу, коли будете в місті, оскільки вони часто дають хороші нагороди)."
FTUE_10_CONTROLLER,"Похмура Гавань не славиться своїми ввічливими мешканцями та добрими самаритянами, але на міських вулицях можна знайти багато цікавого…<br>Тепер ви можете <color=#EACF8C>брати участь у Міських Зустрічах</color>, використовуючи кнопку нижче.<br>(рекомендується робити це щоразу, коли ви в місті, адже вони часто приносять добрі нагороди).<br>"
FTUE_11,"Одного разу ви отримаєте завдання, яке виглядає надто складним, або яке вам неодноразово не вдалося виконати, <color=#EACF8C> Храм Великого Дуба </color> може дарувати вам своє благословення... за справедливу ціну, звісно.<br>Ви можете вибрати доступ до Храму, використовуючи цю кнопку внизу.<br><size=60><sprite name=""Temple_Icon""></size>"
FTUE_12,"Місцезнаходження <color=#EACF8C>першого завдання</color> відзначено на північ від Похмурої Гавані - ви побачите, що воно позначене значком. У міру вашого просування на карті з'являтиметься все більше локацій завдань. Щоб відстежувати їх, ви можете використовувати журнал завдань у правій частині екрана.<br>Натисніть на Чорний курган або запис у Журналі завдань, щоб вибрати завдання."
FTUE_12_CONTROLLER,"Місцезнаходження <color=#EACF8C>першого завдання</color> відзначено на північ від Похмурої Гавані - ви побачите, що воно позначене значком. У міру вашого просування на карті з'являтиметься все більше локацій завдань. Щоб відстежувати їх, ви можете використовувати журнал завдань у правій частині екрана.<br>Виберіть Чорний курган , щоб вибрати завдання, або натисніть ""RT"" для вибору запису в Журналі завдань."
FTUE_13,"Ви можете взяти на завдання <color=#EACF8C> до чотирьох найманців</color>, чим їх більше, тим небезпечніше завдання.<br>Щойно ви вирушите, ви вже не зможете змінювати членів своєї групи, поки не повернетеся в Похмуру Гавань."
FTUE_2,"Ліворуч від вас ви знайдете <color=#EACF8C> Панель групи</color>. Тут ви побачите основну інформацію про найманців у вашій групі.<br>Натисніть на перший слот персонажів, щоб побачити <color=#EACF8C> список найманців</color>."
FTUE_2.2,"Натисніть на <color=#EACF8C> Перший слот персонажів</color>, щоб відкрити список найманців"
FTUE_2.2_CONTROLLER,"Натисніть {CONTROL_PARTY_PANEL} для вибору <color=#EACF8C>Першого слота персонажа</color>, а потім {UI_SUBMIT} для відкриття Панелі групи"
FTUE_2_CONTROLLER,"Ліворуч від вас ви знайдете <color=#EACF8C> Панель групи</color>. Тут ви побачите основну інформацію про найманців у вашій групі.<br>Натисніть ""LT"", щоб побачити <color=#EACF8C> список найманців</color>, а потім ""A"" для вибору 1 слота найманців."
FTUE_3,"Ви можете створювати, переглядати і додавати Найманців у поточну групу за допомогою цієї панелі. Прямо зараз він виглядає таким же безплідним, як і Мідні гори, так що краще <color=#EACF8C> натисніть ""Новий найманець""</color>, щоб створити свого першого персонажа!"
FTUE_3.2,"Натисніть кнопку ""<color=#EACF8C> Новий найманець</color>"", щоб створити персонажа"
FTUE_3.2_CONTROLLER,"Натисніть ""А"" для <color=#EACF8C>виюора кнопки ""Новий найманець""</color> і створення персонажа"
FTUE_3_CONTROLLER,"Ви можете створювати, переглядати та додавати Найманців до поточної групи за допомогою цієї панелі. Прямо зараз він виглядає таким же безплідним, як і Мідні гори, так що краще <color=#EACF8C> натисніть ""A"" </color>, щоб створити свого першого персонажа!"
FTUE_4,"Виберіть одного з <color=#EACF8C> початкових класів персонажів</color>.<br>Кожен з них має унікальні здібності та стиль гри. У міру просування ви підвищуватимете свій рівень, зароблятимете нові карти здібностей і відкриватимете нові класи.<br>Натисніть на будь-який з портретів, щоб дізнатися про них більше, і виберіть той, який ви хочете зробити своїм першим найманцем!"
FTUE_4.2,"Виберіть один із <color=#EACF8C> шести початкових класів персонажів</color>."
FTUE_4.2_CONTROLLER,"Натисніть {UI_SUBMIT} для вибору одного з <color=#EACF8C>стартових класів персонажів</color>."
FTUE_4.3,"Чудовий вибір! Тепер пам'ятайте, що зовнішність - це ще не все - карти здібностей найманця - ось що визначає його дії в бою. Ви можете натиснути кнопку ""<color=#EACF8C> Початкові карти здібностей</color>"", щоб переконатися, що це відповідний найманець для вашої групи.<br>Щойно ви будете впевнені у своєму рішенні, натисніть кнопку ""<color=#EACF8C> Вибрати найманця</color>"", щоб рухатися далі."
FTUE_5,"Виберіть одну з <color=#EACF8C> двох Особистих цілей</color>"
FTUE_5_CONTROLLER,"Чудово! Майте на увазі - карти здібностей найманців - це ті дії, які найманці будуть здатні робити на полі бою. Використовуйте ""LT"" для вибору кнопки <color=#EACF8C>початкових карт здібностей</color>, щоб переконатися, що цей найманець підійде для вашої групи.<br>Коли будете готові пройти далі, натисніть ""А"" для <color=#EACF8C>вибору найманця</color>."
FTUE_6,"Один є, але вам знадобиться <color=#EACF8C> мінімум два найманці</color>, перш ніж ви зможете вирушити на пошуки пригод. Важливо створити партію найманців, які доповнюють один одного в бою!"
FTUE_7,"Натисніть на <color=#EACF8C>другий слот персонажа</color> на панелі учасників і створіть нового персонажа.<br>У вас не може бути більше одного найманця одного і того ж класу персонажів у партії одночасно, тому обов'язково створіть іншого!"
FTUE_7.2,"Натисніть на <color=#EACF8C> другий слот персонажа</color>, щоб відкрити панель списку"
FTUE_7.2_CONTROLLER,"Використовуйте ""LT"" для доступу до <color=#EACF8C>Панелі групи</color>, а потім ""A"" для вибору другого слота найманця"
FTUE_7_CONTROLLER,"Натисніть {CONTROL_PARTY_PANEL} для вибору <color=#EACF8C>другого слота персонажа</color> на панелі групи і створіть нового персонажа<br>Майте на увазі - у вас не можуть бути одночасно в групі 2 найманці одного класу."
FTUE_8,"Час для пригод!<br>Якщо ви впевнені у своїй поточній партії, натисніть у центрі екрана, щоб закрити панель списку учасників і повернутися до Карти світу."
FTUE_8.2,"Натисніть на <color=#EACF8C> центр екрана </color>, щоб повернутися до карти світу"
FTUE_8.2_CONTROLLER,"Натисніть {UI_CANCEL} для повернення на Карту Світу"
FTUE_8_CONTROLLER,"Час для пригод!<br>Якщо ви впевнені у своїй поточній групі, натисніть «B», щоб закрити панель Складу Групи та повернутися до Мапи Світу."
FTUE_9,"Перш ніж вирушити у свою першу пригоду, вам <color=#EACF8C>слід озброїтися</color>, адже це ваш перший вихід у відкритий світ...<br>Ви помітите, що кожен Найманець має скромний запас золота.<br>Рекомендується взяти ці гроші та відвідати <color=#EACF8C>Крамницю Торговця</color>, щоб придбати щось, що може врятувати вам життя."
FTUE_9.2,"Натисніть кнопку ""Торговець"" внизу, щоб <color=#EACF8C>отримати доступ до магазину Торговця</color>"
FTUE_9.2_CONTROLLER,"Використовуйте {UI_PREVIOUS_TAB} або {UI_NEXT_TAB} для огляду опцій міста, а потім {UI_SUBMIT} для доступу до <color=#EACF8C>лавки Торговця</color>."
FTUE_9.3,"Коли будете готові, натисніть кнопку ""Карта світу"" внизу, щоб <color=#EACF8C>повернутися до карти світу</color>"
FaeStones,"Камені фейри"
Fear,"Страх"
Fish,"Риба"
FlameDemon,"Вогняний демон"
FlameDemonElite,"(Елітний) Вогняний демон"
Flying,"Літаючий"
Fordingbridge,"Фордінгбрідж"
ForestImp,"Лісовий біс"
ForestImpElite,"(Елітний) лісовий біс"
ForgoActionsForCompanion,"Можна відмовитися від дії для посилення Компаньйона"
ForgottenTunnels,"Забуті тунелі"
French,"Французький"
FrostDemon,"Морозний демон"
FrostDemonElite,"(Елітний) Морозний демон"
GLOOMHAVEN,"Похмура гавань"
GOAL_CHEST_TOOLTIP,"Інкрустована скриня"
GUI_ABANDON_QUEST_MP_HOST_TOOLTIP,"Тільки Ведучий гру може відмовитися від завдання"
GUI_ABANDON_QUEST_PHASE_TOOLTIP,"Ви можете відмовитися від завдання на початку раунду або у свій хід найманців під час вибору дії"
GUI_ABANDON_QUEST_WHILE_PLAYERS_JOINING_MP_TOOLTIP,"У цей час до сесії приєднуються гравці. Відмова від завдання не допускається в цей час."
GUI_ABILITIES_TABLE,"Освоєні здібності"
GUI_ABILITY_CARDS,"Карти здібностей"
GUI_ABILITY_CARD_RainofArrows_TOP_HELPBOX,"Виконайте дію АТАКА {STRENGTH}, ДАЛЬНІСТЬ {RANGE}"
GUI_ABILITY_TABLE,"Освоєні карти здібностей"
GUI_ABILITY_TABLE_TOOLTIP,"<color=#CEAD5A>засвоєні здібності</color> - це те, що дає змогу найманцю діяти в сценарії."
GUI_ACCEPT_CITY_EVENT,"Прийняти Міську подію"
GUI_ACCEPT_CITY_EVENT_TIP,"усі гравці повинні прийняти Міську подію до її початку"
GUI_ACCEPT_QUEST,"Прийняти завдання"
GUI_ACCEPT_QUEST_TIP,"усі гравці повинні прийняти обране завдання до подорожі"
GUI_ACCEPT_TOWN_RECORDS,"Прийняти Міські архіви"
GUI_ACCEPT_TOWN_RECORDS_TIP,"усі гравці повинні підтвердити міські архіви для початку"
GUI_ACHIEVEMENTS,"Досягнення"
GUI_ACHIEVEMENT_CLAIM_REWARD,"Заявити про нагороду!"
GUI_ACHIEVEMENT_COMPLETE,"Завершено"
GUI_ACHIEVEMENT_FILTER_Enhancements,"Покращення"
GUI_ACHIEVEMENT_FILTER_General,"Загальне"
GUI_ACHIEVEMENT_FILTER_Kill,"Убивства"
GUI_ACHIEVEMENT_FILTER_Mercenaries,"Найманці"
GUI_ACHIEVEMENT_FILTER_None,"Нв All Training"
GUI_ACHIEVEMENT_FILTER_Relics,"Реліквії"
GUI_ACHIEVEMENT_REWARDS,"Нагороди"
GUI_ACHIEVEMENT_REWARDS_CLOSE,"Продовжити"
GUI_ACTIVE_ABILITIES,"Активні здібності"
GUI_ACTIVE_ABILITY,"Активна здатність"
GUI_ACTIVE_BONUSES,"Активні бонуси"
GUI_ADDITIONAL_ATTACK_MODIFIERS,"Додатковий модифікатор атаки"
GUI_ADD_DESCRIPTION,"Додати опис:"
GUI_ADVENTURE,"Пригода"
GUI_ADVENTURE2,"Хранитель Гільдії"
GUI_ADVENTURE_COMPLETE,"Виконано!"
GUI_ADV_CHARACTER_DIFFICULTY,"Складність:"
GUI_ADV_CHARACTER_ROLE,"Роль:"
GUI_ADV_SIDE_DIFFICULTY,"Нв Run Difficulty:"
GUI_ADV_SIDE_OBJECTIVE,"Поточна ЦІЛЬ:"
GUI_ADV_SIDE_OBJECTIVE_REACH,"Досягти {0}"
GUI_ADV_SIDE_SCENARIO_1_LENGHT,"1 Сценарій"
GUI_ADV_SIDE_SCENARIO_DIFFICULTY,"Складність:"
GUI_ADV_SIDE_SCENARIO_LENGHT,"Тривалість сценарію:"
GUI_ADV_SIDE_SCENARIO_PL_LENGHT,"{0} Сценаріїв"
GUI_ADV_SIDE_SCENARIO_REWARD,"Нагорода:"
GUI_ADV_TUTORIAL_BACK_BOSS_1,"Звичайно, якщо культисти так байдужі до своєї безпеки, вони не можуть очікувати, що хтось буде настільки дурний, щоб напасти на їхню фортецю. Як же вони помиляються!"
GUI_ADV_TUTORIAL_BACK_BOSS_2,"Якщо це те місце, де можна знайти скарб, то саме туди ви маєте вирушити наступного разу."
GUI_ADV_TUTORIAL_BOSS_1,"Ви прекрасно знаєте, що для магічних досліджень часто потрібен пристойний запас золота, і після розпитувань ви виявляєте місцезнаходження його притулку."
GUI_ADV_TUTORIAL_BOSS_2,"Ви прекрасно знаєте, що для магічних досліджень часто потрібен пристойний запас золота, і після розпитувань ви виявляєте місцезнаходження його притулку."
GUI_ADV_TUTORIAL_BOSS_3,"Він пояснює, що Верховний культист перевозив їхні багатства в покинутий некрополь, розташований далеко звідси, де він проводив дивні експерименти."
GUI_ADV_TUTORIAL_COMMANDER,"З убитим командиром ви очікуєте знайти його скарб вкрадених скарбів, але дуже розчаровані, виявивши кілька сувоїв із кореспонденцією від сусіднього лідера культу."
GUI_ADV_TUTORIAL_COMMANDER_TITLE,"Командира вбито!"
GUI_ADV_TUTORIAL_CONFIRM_BACK_BOSS_1,"Вперед!"
GUI_ADV_TUTORIAL_CONFIRM_BACK_BOSS_2,"Висуваємося"
GUI_ADV_TUTORIAL_CONFIRM_FINISH,"Завершено"
GUI_ADV_TUTORIAL_CONFIRM_WAYWARD,"Почати пригоду"
GUI_ADV_TUTORIAL_CULTIST,"Обшукуючи штаб-квартиру, ви знову розчаровані, виявивши явну нестачу скарбів, але ви дійсно натрапляєте на молодого культиста, що ховається під розбитим столом. Ви повідомляєте йому, що в його інтересах пояснити, де можна знайти ЗДОБИЧ."
GUI_ADV_TUTORIAL_CULTIST_TITLE,"До трофеїв...?"
GUI_ADV_TUTORIAL_FINISH,"З гниючим трупом Командира Розбійників, який смердить ще гірше, ніж минулого разу, коли ви його вбили, ви озираєте цю сиру та порожню Гробницю. Ви усвідомлюєте, трохи запізно, що, можливо, найкращий час для вибору прибуткових пригод — це не коли ви п'яні в таверні.<br><br>Але золото та дрібниці не такі важливі, як зробити світ безпечнішим для простого люду, чи не так? Ви, можливо, не багаті, але можете називати себе Героями, і, можливо, наступного разу, коли захочете випити, хтось інший сам запропонує заплатити за вас.<br>"
GUI_ADV_TUTORIAL_FINISH_TITLE,"Командира вбито! ...Знову."
GUI_ADV_TUTORIAL_INTRO,"Випиваючи в трактирі ""Wayward"", ви підслуховуєте уривки розмови між двома міськими вартовими. Мабуть, місцевий ватажок розбійників заволодів низкою єретичних текстів і почав вивчати некромантію."
GUI_ADV_TUTORIAL_INTRO_TITLE,"Ласкаво просимо, Найманці!"
GUI_ADV_TUTORIAL_WAYWARD,"Очевидно, ви ще не готові штурмувати його базу, тому ви готуєтеся покинути Wayward і вирушити в набіг на деякі місцеві склепи в пошуках знань і кращого спорядження."
GUI_ALLY,"Союзник"
GUI_ALREADY_ADDED_DLC,"Це доповнення було додано в цей файл збереження"
GUI_ANNOUNCE_RETIREMENT,"Оголосити відхід на спокій"
GUI_APPLY_AND_EXIT,"Застосувати і вийти"
GUI_APPLY_AND_LOAD,"Прийняти та завантажити"
GUI_ASSEMBLE_PARTY,"Зібрати групу"
GUI_ASSEMBLE_PARTY_NEW_CHARACTER,"Новий найманець!"
GUI_ASSEMBLE_PARTY_NEW_CHARACTER_DESC,"Нового найманця було додано до реєстру!<br>Персонаж наразі прихований, щоб уникнути небажаних спойлерів.<br><br>Натисніть на емблему найманця, що світиться, щоб відкрити нового персонажа!"
GUI_ASSEMBLY_ABILITIES,"Карти здібностей:"
GUI_ASSEMBLY_ERROR_QUEST_MIN_HEROE,"Для цього завдання потрібен <color=#C53F3F>один найманець</color>."
GUI_ASSEMBLY_ERROR_QUEST_MIN_HEROES,"Для початку завдання потрібно хоча б <color=#C53F3F>{0} Найманця(-ів)</color>."
GUI_ASSEMBLY_ERROR_QUEST_REQUIRED_HEROES,"У групі потрібно {0}"
GUI_ASSEMBLY_ERROR_QUEST_REQUIRED_ITEMS,"Це завдання вимагає, щоб у власника був екіпірований {0} і він був у групі."
GUI_ASSEMBLY_ERROR_QUEST_REQUIRED_LEVEL_HEROE,"{0} Має бути хоча б {1} рівня"
GUI_ASSEMBLY_ERROR_QUEST_REQUIRED_PERSONAL_QUEST,"Це завдання вимагає, щоб у власника було особисте завдання {0} і він був у групі."
GUI_ASSEMBLY_ERROR_QUEST_REQUIRED_STARTING_VILLAGE,"Це завдання вимагає від вас відкриття {0}"
GUI_ASSEMBLY_ITEMS,"Прив'язані предмети:"
GUI_ASSEMBLY_PARTY_DESCRIPTION,"Сформуйте групу найманців, щоб почати пригоду"
GUI_ASSEMBLY_PARTY_INVALID_NAME,"Ви маєте назвати групу, перш ніж ви можете почати"
GUI_ASSEMBLY_PARTY_LOCK1,"<color=#E6C88AFF>закрито</color><br>Відкрийте слот для третього найманця в групі вбивством 1го боса"
GUI_ASSEMBLY_PARTY_LOCK2,"<color=#E6C88AFF>закрито</color><br>Відкрийте слот для четвертого найманця в групі вбивством 2го боса"
GUI_ASSEMBLY_PARTY_REMOVE_HERO,"Видалити персонажа"
GUI_ASSEMBLY_PARTY_REPEATED_NAME,"Виберіть інше ім'я. Ви не можете використовувати одне й те саме ім'я у двох різних групах"
GUI_ASSEMBLY_PARTY_REVEAL_CHARACTER,"Відкрийте найманця"
GUI_ASSEMBLY_PARTY_ROSTER,"Найманці"
GUI_ASSEMBLY_PARTY_SELECT_HERO_TIP,"Виберіть будь-якого з доступних найманців, щоб додати їх до загону або детально оцінити їхні здібності"
GUI_ASSEMBLY_PARTY_SELECT_HERO_TIP_TITLE,"Додати персонажа"
GUI_ASSEMBLY_PARTY_START,"Ви готові почати!"
GUI_ASSEMBLY_PARTY_TIP,"Група потребує щонайменше 2 найманців, щоб розпочати пригоду"
GUI_ASSEMBLY_REMOVE_HERO,"Прибрати<br>Найманця"
GUI_ASSEMBLY_SELECT_HERO,"Вибрати найманця"
GUI_ATTACK_MODIFIERS,"Модифікатори атаки"
GUI_ATTACK_MODIFIERS_DESCRIPTION,"Коли виконується АТАКА, модифікатор атаки витягується для кожної окремої цілі."
GUI_AUTOSAVE,"Авто-збереження"
GUI_AUTOSAVE_EXPLANATION,"Гра використовує функцію автоматичного збереження. Будь ласка, не вимикайте комп'ютер, коли ви бачите іконку автоматичного збереження."
GUI_AVOID_DAMAGE_BURN_TOOLTIP,"Виберіть 1 з доступних карт здібностей найманця, щоб спалити її й уникнути отримання шкоди."
GUI_AVOID_DAMAGE_DISCARD_TOOLTIP,"Виберіть 2 зі скинутих карт здібностей найманця, щоб спалити їх і уникнути отримання шкоди."
GUI_BACK,"Назад"
GUI_BATTLE_GOALS,"Бойові ЦІЛІ"
GUI_BATTLE_GOALS_TIP,"Виберіть бойову ЦІЛЬ для кожного найманця до початку сценарію"
GUI_BATTLE_GOALS_TIP_CONTROLLER,"Натисніть {0} для вибору Бойового завдання для кожного з найманців перед входом у сценарій"
GUI_BEGIN,"Почати"
GUI_BG_UNAVAILABLE_IN_SOLO,"Бойові завдання недоступні для одиночних сценаріїв."
GUI_BIND_EQUIP_ITEM_CONFIRMATION,"<color=#C53F3F>ціна відв'язки: </color><color=#FCC954><sprite name=""Gold_Icon_White"" color=#FCC954>{0}</color>"
GUI_BIND_EQUIP_ITEM_CONFIRMATION_TITLE,"Прив'язати й надіти"
GUI_BIND_ITEM,"Прив'язати предмет"
GUI_BIND_ITEM_ERROR_CONFIRMATION_TITLE,"Неможливо надіти предмет"
GUI_BIND_ITEM_ERROR_REPEATED,"Найманець може мати тільки один предмет кожного типу"
GUI_BIND_MOVE_ITEM_CONFIRMATION,"Прив'язано до <color=#{0}>{1}</color> <size=140%><sprite name=""{2}"" color=#{0}></size><br><color=#C53F3F>Ціна прив'язки до {3}:</color> <color=#FCC954><sprite name=""Gold_Icon_White"" color=#FCC954>{4}</color>"
GUI_BIND_MOVE_ITEM_CONFIRMATION_TITLE,"Прив'язати до {0}"
GUI_BLESSINGS_UNAVAILABLE,"Немає доступних Благословень"
GUI_BUY,"Купити"
GUI_BUY_CONFIRMATION_TITLE,"Купити предмет"
GUI_BUY_DLC,"Придбати DLC"
GUI_BUY_DLC_DESCR,"Нове <color=#F1DBAE><size=+2>DLC!</size></color>"
GUI_BUY_ENHANCEMENT_CONFIRMATION_TITLE,"Купити поліпшення"
GUI_BUY_PARTY_CONFIRMATION,"Ви впевнені, що хочете розблокувати цю групу?"
GUI_CAMPAIGN,"Кампанія"
GUI_CAMPAIGN_INVALID_NAME,"Вкажіть назву кампанії"
GUI_CAMPAIGN_REPEATED_NAME,"<color=#C53F3F>Назва кампанії</color> вже використовується. Будь ласка, виберіть іншу."
GUI_CAMPAIGN_RULESET,"Набір правил Кампанії"
GUI_CANCEL,"Скасування"
GUI_CANCEL_ACTIVE_BONUS,"<color=#FFFFC>Натисніть на значок, щоб скасувати активну здатність</color>"
GUI_CANCEL_SENDING_ERROR_REPORT,"Скасовуємо надсилання звіту... Чекайте"
GUI_CANCEL_TOWN_RECORDS,"Скасувати Міські архіви"
GUI_CANNOT_CANCEL_ACTIVE_BONUS,"Ця активна здатність не може бути скасована"
GUI_CANNOT_CANCEL_ACTIVE_BONUS_BEFORE_END_ROUND,"Ця карта не може бути скинута до кінця раунду."
GUI_CARD_CANNOT_BE_ENHANCED,"Ця карта здібностей <color=#C53F3FFF>не може бути покращена</color>."
GUI_CARD_FULLY_ENHANCED,"Ця карта здібностей <color=#5FD6E5>покращена повністю</color>"
GUI_CARD_NOT_ENHANCED,"Ця карта здібностей <color=#FCC951>не покращена</color>"
GUI_CARD_SECTION_BURNT,"Втрати"
GUI_CARD_SECTION_BURNT_TOOLTIP,"Спалені карти здібностей"
GUI_CARD_SECTION_BURNT_TOOLTIP_DESCR,"Карти здібностей зі значком спалювання в правому нижньому кутку спалюються після використання і не можуть бути відновлені відпочинком. Вони зазвичай використовуються тільки один раз у кожному сценарії, але можуть бути відновлені деякими особливими здібностями відновлення."
GUI_CARD_SECTION_DISCARDED,"Скидання"
GUI_CARD_SECTION_DISCARDED_TOOLTIP,"Скинуті карти здібностей"
GUI_CARD_SECTION_DISCARDED_TOOLTIP_DESCR,"Карти здібностей без значка спалювання скидаються після використання і будуть відображатися сірим кольором у списку карт для цього персонажа. Скинуті карти можуть бути відновлені для повторного використання в рамках сценарію, виконуючи відпочинок."
GUI_CHANGE_PARTY,"Змінити групу"
GUI_CHARACTERS_EXHAUSTED_TIP,"- брак доступних карт здібностей, персонаж виснажений"
GUI_CHARACTERS_EXHAUSTED_TITLE,"Виснаження"
GUI_CHARACTERS_MULTIPLE_EXHAUSTED_TIP,"виснажені через брак Карт Здібностей"
GUI_CHARACTER_NAME_REPEATED,"Таке ім'я найманця вже є. Назвіть інакше"
GUI_CHARACTER_RETIRED,"{0} пішов на спокій!"
GUI_CHOOSE_ABILITIES_TIP,"Виберіть здібності, які ви хочете виконати"
GUI_CHOOSE_ABILITY,"Виберіть здатність"
GUI_CHOOSE_ABILITY_ABILITY_CARD_MobileResponse,"Обери для видалення 1 будь-який негативний стан"
GUI_CHOOSE_ABILITY_ITEM_NAME_MinorCurePotion,"Виберіть і зніміть із себе 1 негативний стан"
GUI_CHOOSE_ABILITY_TARGET_ABILITY_CARD_MobileResponse,"Виберіть союзника для видалення з нього 1 будь-якого негативного стану"
GUI_CHOOSE_ACTOR_PREVENT_DAMAGE,"Кому вирішувати, спалити карту чи дозволити ЦІЛІ отримати шкоду?"
GUI_CHOOSE_ACTOR_PREVENT_DAMAGE_HOST_TIP,"Як Ведучий рекомендуйте, кому слід втратити карту здібностей"
GUI_CHOOSE_ACTOR_PREVENT_DAMAGE_TIP_TITLE,"Заперечення шкоди"
GUI_CHOOSE_ELEMENTS_CONSUME,"Виберіть {0} стихій для використання"
GUI_CHOOSE_ELEMENTS_INFUSE,"Виберіть {0} стихій для підвищення"
