Keys,Ukrainian [uk-UA]
COMPENDIUM_CardLayout_Title,"Структура карти"
COMPENDIUM_ConsumingElements_1,"Елементи в стані «Сильний» або «Згасаючий» (див. <b>Наповнення елементів</b>) на панелі елементів у правій частині екрана можна спожити для додавання ефектів та посилення певних дій.<br><br>Споживання зображується одним або двома символами елементів, кожен з яких супроводжується стрілкою перед двокрапкою та посиленням або здібністю. Це означає, що споживання цих елементів є ціною, яку потрібно сплатити для отримання ефекту після двокрапки."
COMPENDIUM_ConsumingElements_2,"Якщо елемент споживається таким чином, він стає інертним і вилучається з панелі елементів, незалежно від того, був він у стані «Сильний» чи «Згасаючий».<br><br>Для персонажів гравців використання споживання є необов'язковим. Його можна ввімкнути або вимкнути в будь-який момент перед виконанням дії, натиснувши на відповідну піктограму елемента споживання в дії, за умови, що кожен необхідний елемент доступний. У разі споживання Будь-якого елемента вам буде запропоновано вибрати один із доступних.<br><br>Монстри завжди споживають елементи для своїх дій, якщо мають таку можливість. У разі споживання Будь-якого елемента вони вибирають один із доступних випадковим чином."
COMPENDIUM_ConsumingElements_Title,"Споживання елементів"
COMPENDIUM_DiscardedAndBurned_1,"Якщо дія карти не має символу в правому нижньому кутку, вона скидається після використання під час ходу і стає сірою в списку карт цього персонажа. Скинуті карти можна повернути для повторного використання у сценарії шляхом відпочинку. (Див. <b>Відпочинок</b>)<br><br>Однак дія карти може мати такі символи в правому нижньому кутку:"
COMPENDIUM_DiscardedAndBurned_2,"<b>Burned</b><br><br>Спалені карти не можна повернути відпочинком, і зазвичай їх можна використовувати лише раз за сценарій — хіба що буде використано здібність <b>Відновлення</b> на деяких картах, яка дозволяє повертати спалені карти в руку."
COMPENDIUM_DiscardedAndBurned_3,"<b>Permanently Burned</b><br><br>Назавжди спалені карти не можна повернути під час сценарію жодним чином; вони повертаються лише після закінчення сценарію."
COMPENDIUM_DiscardedAndBurned_Title,"Скинуті та спалені"
COMPENDIUM_Exhaustion,"Персонаж може стати виснаженим одним із двох способів:<br><br><indent=15>• Якщо кількість очок здоров'я персонажа падає нижче одного.</indent><br><br><indent=15>• Якщо на початку раунду гравець не може розіграти дві карти зі своєї руки (оскільки в руці залишилося одна або менше карт) і також не може відпочити (оскільки в скиді залишилося одна або менше карт). Виснаження через брак карт не впливає на поточне здоров'я персонажа.</indent><br><br>В обох випадках персонаж вилучається зі сценарію і більше не може брати в ньому участь жодним чином. Повернутися до гри після виснаження під час сценарію неможливо, тому цього слід уникати за будь-яку ціну. Якщо всі персонажі стають виснаженими під час сценарію, гра закінчується поразкою. Тому наполегливо рекомендується уникати таких ситуацій!"
COMPENDIUM_Exhaustion_Title,"Виснаження"
COMPENDIUM_GainingExperience_1,"Деякі дії карт здібностей мають вказане значення досвіду, позначене значком щита з числом всередині, де число — це кількість XP, яка надається за використання дії. Персонаж повинен використати одну або кілька здібностей у дії, щоб отримати досвід таким чином.<br><br>"
COMPENDIUM_GainingExperience_2,"Іноді в тексті дії вказується, що досвід отримується лише при споживанні елемента (як частина ефекту споживання) або лише при виконанні певної умови (наприклад, якщо атакована ціль межує з одним або кількома союзниками атакуючого). Деякі постійні активні бонуси дають досвід за виконання певної умови активації цього бонусу, що відображається на супутньому трекері. (Див. <b>Активні бонуси</b>)<br><br>Крім того, в режимі «Володар гільдії» наприкінці кожної пригоди кожен персонаж у загоні отримує досвід залежно від рівня складності пригоди. Складніші пригоди дадуть вам більше досвіду, але будьте обережні — якщо ви провалите пригоду, ви втратите весь прогрес із моменту останнього відвіданого поселення!"
COMPENDIUM_GainingExperience_Title,"Отримання досвіду"
COMPENDIUM_Heal_1,"Здібність <b>Лікування X</b> дозволяє персонажу відновити X очок здоров'я собі або союзнику в межах її дальності."
COMPENDIUM_Heal_2,"Якщо здібність лікування супроводжується властивістю <b>На себе</b>, вона може впливати лише на самого виконавця."
COMPENDIUM_Heal_Title,"Лікування"
COMPENDIUM_InfusingElements_1,"Деякі здібності мають приналежність до елементів. Якщо розіграно здібність з одним із таких символів ефектів, вона наповнить цим елементом поле бою наприкінці ходу. У разі наповнення Будь-яким елементом вам буде запропоновано вибрати потрібний елемент. Якщо на карті монстра присутнє наповнення Будь-яким елементом, він вибирається випадковим чином."
COMPENDIUM_InfusingElements_2,"Кола з правого боку екрана вказують на стан елементів. Наповнені елементи у стані «Сильний» або «Згасаючий» можна спожити для додавання додаткових ефектів та здібностей до дій. (Див. <b>Споживання елементів</b>)<br><br>Коли використовується дія з наповненням елементом, цей елемент з'являється на панелі елементів у стані «Наповнення». Лише наприкінці ходу елемент повністю перейде в стан «Сильний». Через це неможливо наповнити елемент і одразу ж спожити його в той самий хід цього ж персонажа — проте його може спожити будь-хто інший далі за порядком ініціативи в тому самому раунді. Наприкінці раунду «Сильні» елементи стають «Згасаючими», а «Згасаючі» елементи стають інертними та стають недоступними для споживання."
COMPENDIUM_InfusingElements_Title,"Наповнення елементів"
COMPENDIUM_Initiative_1,"Ініціатива визначає порядок ходів для персонажів гравців та монстрів.<br><br>Перша вибрана вами карта з двох на раунд визначає ініціативу персонажа для його ходу — що нижча ініціатива, то раніше персонаж зможе діяти в цьому раунді. Крім того, ви можете вибрати ініціативу своєї другої карти, натиснувши на її золоте коло ініціативи."
COMPENDIUM_Initiative_2,"На момент вибору карт здібностей персонажів гравців ще не відомо, які карти здібностей витягнуть монстри на цей хід. Тому ви повинні спробувати оцінити, коли краще діяти конкретному персонажу — на початку чи наприкінці ходу, не знаючи, що та коли робитимуть монстри!<br><br>Коли всі персонажі гравців та монстри виберуть свої карти на хід, трекер ініціативи у верхній частині екрана оновиться та вишикує їх у відповідному порядку — від найнижчої ініціативи (ті діють першими) до найвищої (діють останніми). Зверніть увагу, що всі монстри одного типу мають спільну карту на цей хід і, відповідно, однакову ініціативу, тому в трекері буде лише один запис, навіть якщо на полі є кілька монстрів цього типу."
COMPENDIUM_Initiative_Title,"Ініціатива"
COMPENDIUM_ItemSlots,"Персонажі можуть екіпірувати карти предметів поза сценаріями у різні слоти інвентарю, які під час сценарію відображаються з лівого боку екрана. Зверніть увагу, що персонажі не можуть мати більше однієї копії будь-якої карти предмета.<br><br>Кожен персонаж може екіпірувати лише один предмет для <b>Голови</b>, один предмет для <b>Тіла</b>, один предмет для <b>Ніг</b>, до двох предметів для <b>Однієї руки</b> <b><i>АБО</i></b> один предмет для <b>Двох рук</b>, а також кількість <b>Малих предметів</b>, що дорівнює половині їхнього рівня з округленням у більшу сторону."
COMPENDIUM_ItemSlots_Title,"Слоти предметів"
COMPENDIUM_LevellingUp_1,"У режимі «Володар гільдії», коли персонаж досягає поселення з необхідною кількістю накопиченого досвіду (показано на його шкалі XP), він може підвищити свій рівень."
COMPENDIUM_LevellingUp_2,"З підвищенням рівня їхній максимальний запас здоров'я збільшується, і на кожному рівні вони можуть розблокувати одну з двох нових карт здібностей. Ця карта буде доступна до кінця пригоди. Розблокувавши більше карт для персонажа, ви зможете покращувати та налаштовувати колоди карт здібностей членів загону, підбираючи карти так, щоб вони краще поєднувалися одна з одною (навіть між різними персонажами), вдосконалюючи таким чином свою стратегію."
COMPENDIUM_LevellingUp_Title,"Підвищення рівня"
COMPENDIUM_Loot_1,"Здібність <b>ЗДОБИЧ X</b> дозволяє персонажу підбирати всі жетони грошей і плитки скарбів у радіусі X. На цю дію не впливає розташування монстрів чи перешкод, проте зверніть увагу, що вона вважається здібністю з дальністю для визначення лінії видимості."
COMPENDIUM_Loot_2,"Окрім здібності Здобич, наприкінці свого ходу персонаж гравця автоматично підбирає будь-яке золото на гексі, який він займає. Прикликані істоти не підбирають здобич наприкінці ходу.<br><br>У режимі «Володар гільдії» гроші діляться між усіма найманцями в загоні.<br><br>"
COMPENDIUM_Loot_Title,"Здобич"
COMPENDIUM_MeleeAndRanged_1,"Здібність <b>Атака X</b> дозволяє персонажу завдати базову шкоду в розмірі X ворогу в межах своєї дальності. Персонажі та монстри не можуть атакувати союзників. Існує два типи атак: ближнього та далекого бою:"
COMPENDIUM_MeleeAndRanged_2,"Атаки ближнього бою не мають супутнього значення дальності та вважаються такими, що мають стандартну дальність в один гекс, тобто зазвичай вони спрямовані на сусідніх ворогів."
COMPENDIUM_MeleeAndRanged_3,"Атаки далекого бою супроводжуються значенням <b>ДАЛЬНІСТЬ Y</b>, що означає, що ціллю атаки може стати будь-який ворог у межах Y гексів. Будь-яка атака далекого бою, спрямована на сусіднього ворога, отримує Ускладнення проти цієї цілі. (Див. <b>Перевага та Ускладнення</b>)"
COMPENDIUM_MeleeAndRanged_4,"Усі атаки далекого та ближнього бою можуть виконуватися лише проти ворогів у лінії видимості, тобто від будь-якого кута гекса атакуючого до будь-якого кута гекса захисника можна провести лінію, яка не торкається жодної частини стіни. Тільки стіни блокують лінію видимості. Крім того, будь-яка здібність, яка визначає дальність, може застосовуватися лише до персонажа в лінії видимості. Якщо здібність без атаки не визначає дальність, лінія видимості не потрібна. Також зверніть увагу, що два гекси, розділені лінією стіни, не вважаються сусідніми, а дальність не може відліковуватися крізь стіни."
COMPENDIUM_MeleeAndRanged_Title,"Близький та дальній бій"
COMPENDIUM_MonsterAttacks,"Монстр атакуватиме у свій хід, якщо здібність <b>Атака</b> є частиною витягнутої карти на цей раунд. Будь-яка завдана шкода розраховується на основі значення атаки цієї здібності.<br><br>Монстри завжди атакують своїх сфокусованих ворогів, але якщо монстр може атакувати кілька цілей, він атакуватиме сфокусованого ворога та якомога більше інших ворогів для досягнення максимального ефекту. Якщо монстр має кілька атак, він вибиратиме фокус для інших своїх атак за звичайними правилами фокусування, виключаючи цілі, які він уже атакує.<br><br>Атаки монстрів діють точно так само, як і атаки персонажів: вони модифікуються спочатку бонусами атаки атакуючого, потім картами модифікаторів атаки, а потім захисними бонусами їхньої цілі. Вони також можуть виконуватися з <b>Перевагою</b> або <b>Ускладненням</b>."
COMPENDIUM_MonsterAttacks_Title,"Атаки монстрів"
COMPENDIUM_MonsterFocus,"Перед виконанням дії на своїй карті здібності кожен окремий монстр фокусується на конкретному ворогу — персонажі або його прикликаній істоті.<br><br>Монстр фокусується на ворогу, якого він може атакувати поточною атакою, використовуючи найменшу кількість переміщень. Він знаходить найкоротший шлях, щоб опинитися на потрібній дальності та лінії видимості для своєї атаки, а ворог, якого можна атакувати в кінці цього шляху, стає його фокусом. Цей ворог вважається «найближчим». Не має значення, чи монстр не може підійти на достатню дальність для атаки з поточним запасом руху, головне, щоб існував шлях для досягнення потрібної дальності в майбутньому.<br><br>Якщо у монстра на поточний раунд немає атаки на карті здібностей, він знаходить фокус так, ніби у нього є атака ближнього бою. У випадку, якщо монстр може пройти однакову кількість клітин, щоб опинитися в межах дальності та лінії видимості кількох ворогів (наприклад, тому що він починає хід у межах дальності кількох із них), для визначення «найближчого» перевіряється близькість від початкової позиції монстра (без урахування стін).<br><br>Якщо кілька ворогів однаково претендують на роль найближчого, другим пріоритетом є вибір ворога, який стоїть раніше в порядку ініціативи (прикликані істоти мають більший пріоритет фокусування, ніж персонажі, які їх прикликали, навіть у раунді прикликання).<br><br>У разі відсутності доступних цілей для фокусування через те, що немає вільних гексів, з яких монстр може атакувати (тобто всі вони заблоковані, зайняті або до них немає відкритого шляху), монстр не рухається і не атакує у свій хід, незалежно від дальності свого руху, але виконує інші дії на своїй карті здібностей, якщо це можливо."
COMPENDIUM_MonsterFocus_Title,"Фокус монстрів"
COMPENDIUM_MonsterMovement_1,"Монстр може рухатися у свій хід, якщо на його карті здібності вказано <b>Рух</b>. Він може переміститися на кількість гексів, що не перевищує значення руху.<br><br>Якщо на карті монстра є рух, але після нього немає атаки, він використовуватиме свій рух, щоб підійти якомога ближче до свого фокуса (визначеного так, ніби у нього є атака ближнього бою), рухаючись найкоротшим шляхом до гекса, суміжного з його сфокусованим ворогом.<br><br>Якщо після руху у монстра є здібність атаки, он переміститься на найменшу можливу кількість гексів так, щоб атакувати сфокусованого ворога з максимальною ефективністю. Якщо це атака ближнього бою по одній цілі, він просто рухатиметься до найближчого гекса, суміжного з його фокусом. Якщо це атака по кількох цілях, він рухатиметься до позиції, з якої його атака вразить сфокусованого ворога та якомога більше інших ворогів."
COMPENDIUM_MonsterMovement_2,"Якщо монстр виконує атаку далекого бою, він рухатиметься лише до гекса, з якого він перебуватиме на відстані для проведення своєї найкращої можливої атаки. Монстр також відходитиме від свого сфокусованого ворога, доки не зможе провести атаку далекого бою без <b>Ускладнення</b>. Коли доводиться вибирати, монстр віддасть перевагу позбавленню від <b>Ускладнення</b> проти свого сфокусованого ворога, ніж максимізації атаки по другорядних цілях."
COMPENDIUM_MonsterMovement_3,"Навіть якщо монстр не може підійти на дальність атаки, він усе одно використає свій рух, щоб підійти якомога ближче до свого фокуса. Наявність на карті здібностей ефектів, відмінних від <b>Атаки</b>, жодним чином не впливає на рух монстра. Він просто рухатиметься відповідно до вищеописаних правил, а потім максимально ефективно застосує інші свої здібності."
COMPENDIUM_MonsterMovement_4,"Монстри без властивості <b>Політ</b> вважають негативні гекси (наприклад, ті, що мають пастки) перешкодами при визначенні фокуса та руху, за винятком випадків, коли прохід через такий гекс є єдиним способом сфокусуватися на цілі. У цьому разі вони виберуть шлях, що проходить через найменшу кількість негативних гексів, щоб знайти фокус, і отримають усі відповідні наслідки."
COMPENDIUM_MonsterMovement_Title,"Рух монстрів"
COMPENDIUM_MonsterTurns,"Рішення монстрів контролюються системою фокусування, яка використовує карти дій для автоматизації їхніх ходів. Усі монстри виконуватимуть здібності, зазначені на витягнутій карті на цей раунд, у написаному порядку. Вони не рухатимуться і не атакуватимуть, якщо ці дії не вказані на їхній карті.<br><br>Карти монстрів на раунд витягуються для типу монстрів, а не для кожного окремого монстра. Це означає, що, наприклад, усі «Розбійники-лучники» виконуватимуть однакові здібності у свої ходи.<br><br>Спочатку діють усі елітні монстри певного типу, а потім — звичайні монстри цього типу. Якщо на полі є більше одного елітного або звичайного монстра цього типу, вони діють у порядку зростання номерів. Усі монстри одного типу роблять свої ходи окремо, а не всі разом, з однаковим значенням ініціативи, вказаним на витягнутій карті монстра на раунд."
COMPENDIUM_MonsterTurns_Title,"Ходи монстрів"
COMPENDIUM_MovementTypes_1,"Здібності <b>Рух X</b> дозволяють персонажу переміститися на відстань до X гексів на карті. Персонажі та монстри можуть проходити крізь своїх союзників, але не можуть проходити крізь ворогів або перешкоди. Крізь пастки можна проходити, причому вони спрацьовують, коли на їхній гекс стають під час звичайного руху. Рух не можна завершувати в одному гексі з іншим персонажем або монстром. Проходити крізь стіни ніколи не можна."
COMPENDIUM_MovementTypes_2,"<b>Стрибок</b><br><br>Деякі здібності Руху визначаються як <b>Стрибок</b>. Рух стрибком дозволяє персонажу ігнорувати всіх персонажів, монстрів, перешкоди та пастки під час переміщення. Проте останній гекс стрибка все одно вважається звичайним рухом, тому на нього поширюються звичайні правила переміщення, наведені вище — так що, хоч би як вам хотілося приземлитися на Пустотілого, зробити цього ви не зможете."
COMPENDIUM_MovementTypes_3,"<b>Політ</b><br><br>Деякі монстри також можуть мати особливу властивість <b>Політ</b>. Це дозволяє їм повністю ігнорувати будь-яких персонажів, монстрів, пастки та перешкоди під час будь-якої частини руху, включно з останнім гексом, за винятком того, що вони все одно мають закінчувати свій рух на вільному гексі (де немає інших персонажів або монстрів). Це поширюється і на примусовий рух, як-от Поштовх чи Притягування. Якщо персонаж втрачає властивість Польоту, перебуваючи на гексі з перешкодою, він отримує шкоду, наче підірвався на пастці зі шкодою, і негайно переміщується на найближчий вільний гекс."
COMPENDIUM_MovementTypes_Title,"Типи руху"
COMPENDIUM_MultipleTargets_1,"Деякі атаки супроводжуються значенням <b>ЦІЛЬ X</b>, що означає, що персонаж може вибрати ціллю атаки X різних ворогів у межах її дальності."
COMPENDIUM_MultipleTargets_2,"Для кожної атаки, спрямованої на кілька ворогів, карта модифікатора атаки витягується для кожної цілі окремо. Неможливо вибрати одного й того самого ворога ціллю кількох атак від однієї здібності.<br><br>Атаки ніколи не можуть бути спрямовані на союзників. Союзник може перебувати в зоні ураження атаки, але він не стане її ціллю."
COMPENDIUM_MultipleTargets_Title,"Кілька цілей"
COMPENDIUM_NegativeConditions_1,"Певні здібності можуть накладати стани на свої цілі. Стан залишається, доки не будуть виконані вимоги для зняття конкретного ефекту. На одного персонажа чи монстра одночасно може быть накладено лише один стан кожного типу, проте стани можна накладати повторно для оновлення їхньої тривалості.<br><br>Нижче наведено негативні стани. Якщо здібність містить назву одного з цих станів, то стан накладається на всі цілі здібності після застосування її основного ефекту. Стани від атаки накладаються незалежно від того, чи завдає атака шкоди."
COMPENDIUM_NegativeConditions_2,"<b>ОТРУЄННЯ:</b> Якщо ціль отруєна, всі вороги додають +1 до <b>Атаки</b> для всіх своїх атак, спрямованих на неї. Якщо здібність <b>Лікування</b> використовується на отруєній цілі, стан отруєння знімається, але це не має жодного іншого ефекту (тобто не відновлює очок здоров'я)."
COMPENDIUM_NegativeConditions_3,"<b>РАНА:</b> Якщо ціль поранена, вона отримує одне очко шкоди на початку кожного свого ходу. Якщо здібність <b>Лікування</b> використовується на пораненій цілі, стан рани знімається, а <b>Лікування</b> продовжує діяти як зазвичай. Якщо ціль одночасно отруєна та поранена, здібність <b>Лікування</b> зніме обидва стани, але не матиме іншого ефекту."
COMPENDIUM_NegativeConditions_4,"<b>ПАРАЛІЧ:</b> Якщо на ціль накладено параліч, вона не може використовувати здібності <b>Руху</b> у свій хід. Наприкінці її наступного ходу стан паралічу знімається."
COMPENDIUM_NegativeConditions_5,"<b>DISARM:</b> Якщо ціль роззброєна, вона не може використовувати здібності <b>Атаки</b> у свій хід. Наприкінці її наступного ходу стан роззброєння знімається."
COMPENDIUM_NegativeConditions_6,"<b>ОГЛУШЕННЯ:</b> Якщо ціль оглушена, вона не може використовувати жодних здібностей або предметів у свій хід (за винятком виконання довгого відпочинку для персонажів). Наприкінці її наступного ходу стан оглушення знімається. Гравці все одно повинні розіграти дві карти або відпочити у свій хід, і якщо гравець розігрує дві карти під час оглушення, вибрані дії не використовуються, а карти просто скидаються."
COMPENDIUM_NegativeConditions_7,"<b>ДЕЗОРІЄНТАЦІЯ:</b> Якщо ціль дезорієнтована, вона отримує <b>Ускладнення</b> на всі свої здібності <b>Атаки</b>. Наприкінці її наступного ходу стан дезорієнтації знімається."
COMPENDIUM_NegativeConditions_Title,"Негативні стани"
COMPENDIUM_Obstacles,"Перешкоди — це різні елементи декору, які блокують гекси в кімнаті, перешкоджаючи звичайному переміщенню через них. Однак вони не заважають атакам далекого бою.<br><br>Певні здібності персонажів дозволяють створювати або переміщувати перешкоди. При цьому гравці ніколи не можуть повністю ізолювати одну область карти сценарію від іншої так, щоб у цю область не можна було потрапити, не проходячи крізь перешкоди."
COMPENDIUM_Obstacles_Title,"Перешкоди"
COMPENDIUM_PositiveConditions_1,"Нижче наведено позитивні стани. Персонажі та монстри можуть накладати позитивні стани на себе або на своїх союзників за допомогою певних дій. Позитивні стани не можна зняти передчасно."
COMPENDIUM_PositiveConditions_2,"<b>ПОСИЛЕННЯ:</b> Якщо ціль посилена, вона отримує <b>Перевагу</b> на всі свої атаки. Наприкінці її наступного ходу стан посилення знімається."
COMPENDIUM_PositiveConditions_3,"<b>НЕВИДИМІСТЬ:</b> Якщо персонаж або монстр невидимий, ворог не може сфокусуватися на ньому або вибрати його ціллю. Невидимість не впливає на взаємодію персонажа чи монстра з його союзниками. Наприкінці його наступного ходу стан невидимості знімається. Монстри ставляться до невидимих персонажів точно так само, як до перешкод."
COMPENDIUM_PositiveConditions_Title,"Позитивні стани"
COMPENDIUM_RestsAndRecoveringCards,"Скинуті карти можна повернути в руку, виконавши один із таких типів відпочинку:<br><br><b>Короткий відпочинок:</b> Під час вибору карт ви можете виконати Короткий Відпочинок, щоб випадково спалити одну скинуту карту та повернути всі інші скинуті карти в руку. Якщо ви хочете зберегти випадково спалену карту, ви можете отримати одну одиницю шкоди та випадково спалити іншу скинуту карту один раз за відпочинок.<br><br><b>Довгий відпочинок:</b> Замість вибору карт здібностей на хід ви можете вибрати одну скинуту карту для спалювання, щоб виконати дію <b>Лікування 2, На себе</b>, повернути всі інші скинуті карти та оновити всі свої використані карти предметів з ініціативою <b>99</b> на цей раунд."
COMPENDIUM_RestsAndRecoveringCards_Title,"Відпочинок та повернення карт"
COMPENDIUM_Retaliate,"Активна бонусна здібність <b>ВІДПЛАТА X</b> змушує отримувача завдавати X очок шкоди атакуючим у сусідніх гексах за кожну здійснену атаку. Бонус відплати також може супроводжуватися значенням <b>Дальність відплати Y</b>, що означає, що ефект відплати спрацьовує на будь-якого атакуючого в межах Y гексів, а не тільки в сусідніх гексах. Відплата діє після атаки, яка її викликала.<br><br>Якщо персонаж, який відплачує, гине або стає виснаженим від атаки, відплата не спрацьовує. Кілька бонусів відплати підсумовуються один з одним, а сама відплата не є атакою чи ефектом із ціллю — це просто пряма шкода по очках здоров'я атакуючого."
COMPENDIUM_Retaliate_Title,"Відплата"
COMPENDIUM_RoundSummary,"Сценарій складається з серії раундів, які тривають доти, доки гравці не виконають умови перемоги або не зазнають поразки. Раунд складається з таких фаз:<br><br>• <indent=15><b>1. Вибір карт здібностей:</b><br>Для кожного персонажа виберіть дві карти на раунд або вирішіть провести довгий відпочинок. Перша вибрана карта визначає ініціативу персонажа на раунд. (Під час вибору карт також можна провести короткий відпочинок, щоб повернути скинуті карти)</indent><br><br>• <indent=15><b>2. Відкриття карт монстрів:</b><br>Для кожного типу монстрів, які зараз перебувають на полі бою, відкривається карта на раунд. Усі монстри одного типу використовуватимуть однакову карту в цьому раунді. Після цього шкала ініціативи у верхній частині екрана оновлюється відповідно до значень ініціативи вибраних карт персонажів і монстрів.</indent><br><br>• <indent=15><b>3. Фаза дій:</b><br>Починаючи з найнижчої ініціативи, гравці та монстри виконують свої ходи в раунді. Тоді як монстри просто виконують свої карти з однією дією, персонажі гравців на початку свого ходу вибирають, які дві протилежні половини карт використовувати. Також персонажі гравців можуть використовувати карти предметів у різні моменти свого ходу.</indent><br><br>• <indent=15><b>4. Кінець раунду:</b><br>Активні ефекти, що діють протягом раунду, закінчуються і за необхідності скидаються або спалюються; наповнені елементи переходять із сильних у згасаючі, а зі згасаючих — в інертні; і якщо як модифікатор було витягнуто стандартний множник <b><color=#A050E0>x0</color></b> або <b><color=#D92727>x2</color></b>, список модифікаторів скидається.</indent>"
COMPENDIUM_RoundSummary_Title,"Огляд раунду"
COMPENDIUM_SECTION_AbilitiesAttack,"Здібності — Атака"
COMPENDIUM_SECTION_AbilitiesMove,"Здібності — Рух"
COMPENDIUM_SECTION_AbilitiesOther,"Здібності — Інше"
COMPENDIUM_SECTION_AbilityCards,"Карти здібностей"
COMPENDIUM_SECTION_DamageAndExhaustion,"Шкода та Виснаження"
COMPENDIUM_SECTION_EffectsAndConditions,"Ефекти та стани"
COMPENDIUM_SECTION_Elements,"Елементи"
COMPENDIUM_SECTION_Experience,"Досвід"
COMPENDIUM_SECTION_Items,"Предмети"
COMPENDIUM_SECTION_MonsterBehaviour,"Поведінка монстрів"
COMPENDIUM_SECTION_Overview,"Огляд"
COMPENDIUM_SelectingCards,"На початку раунду для кожного персонажа гравця потрібно вибрати дві карти здібностей або довгий відпочинок, які він використовуватиме у свій хід.<br><br>Вибрані карти визначать набір дій, доступних на початку ходу кожного персонажа, а також ініціативу персонажа в раунді. Значна частина стратегії в грі Похмура Гавань полягає в розумному виборі правильного поєднання карт відповідно до їхніх здібностей та ініціативи.<br><br>Зверніть увагу: хоча кожна карта має дві половини, під час ходу необхідно використовувати протилежні половини. Наприклад, якщо для першої дії ходу персонажа ви вирішили використати верхню половину однієї карти, то для другої дії потрібно використовувати нижню половину іншої карти."
COMPENDIUM_SelectingCards_Title,"Вибір карт"
